Optimas, 506(0 5 2 1 4 3 6), 3025(4 1 2 0 3 6 5), 1680(2 3 0 1 4 5 6), 2147(2 6 5 1 4 3 0)
H-Axis, Max distance, Ratio,Ours-a=1.0,Ours-a=0.9,Ours-a=0.8,Ours-a=0.7,Ours-a=0.6,Ours-a=0.5,Ours-a=0.4
100,5040,100,44,33,38,34,38,36,18
99,4989.6,99,13,11,10,10,11,12,13
98,4939.2,98,13,14,13,10,12,14,14
97,4888.8,97,12,10,10,14,11,12,15
96,4838.4,96,16,12,11,22,12,22,22
95,4788,95,23,9,8,10,12,11,12
94,4737.6,94,17,12,8,11,11,12,13
93,4687.2,93,17,10,8,10,12,11,11
92,4636.8,92,15,9,8,11,11,11,12
91,4586.4,91,13,9,9,9,13,11,12
90,4536,90,24,12,16,20,20,14,18
89,4485.6,89,15,12,10,9,15,15,11
88,4435.2,88,18,12,10,14,13,11,12
87,4384.8,87,20,15,12,10,10,16,12
86,4334.4,86,50,18,237,29,40,11,18
85,4284,85,18,10,9,19,34,34,12
84,4233.6,84,14,25,11,9,11,11,11
83,4183.2,83,17,17,11,28,25,13,17
82,4132.8,82,21,10,10,9,12,10,12
81,4082.4,81,13,11,8,11,10,11,11
80,4032,80,23,22,13,9,10,15,12
79,3981.6,79,21,12,24,11,12,11,25
78,3931.2,78,17,12,13,26,14,21,19
77,3880.8,77,20,13,22,12,11,13,13
76,3830.4,76,10,10,9,10,11,10,10
75,3780,75,10,9,9,11,10,10,11
74,3729.6,74,10,8,8,9,9,11,11
73,3679.2,73,9,10,8,8,10,11,11
72,3628.8,72,9,9,7,9,9,11,12
71,3578.4,71,10,10,9,10,9,11,12
70,3528,70,10,9,9,10,11,11,13
69,3477.6,69,9,10,9,8,10,11,12
68,3427.2,68,9,8,10,9,10,11,13
67,3376.8,67,12,10,10,10,10,12,12
66,3326.4,66,11,9,9,9,10,11,12
65,3276,65,9,10,8,9,9,11,12
64,3225.6,64,9,9,8,8,9,11,11
63,3175.2,63,9,10,8,8,9,11,11
62,3124.8,62,10,10,8,9,9,11,12
61,3074.4,61,16,9,8,8,9,10,11
60,3024,60,8,10,8,8,9,11,12
59,2973.6,59,9,9,8,8,10,11,11
58,2923.2,58,9,9,8,8,9,11,11
57,2872.8,57,10,9,8,8,10,10,11
56,2822.4,56,9,11,8,8,9,10,11
55,2772,55,11,9,10,8,10,11,10
54,2721.6,54,9,9,8,9,9,10,11
53,2671.2,53,9,9,8,9,9,10,11
52,2620.8,52,10,9,9,9,9,10,11
51,2570.4,51,11,9,8,8,9,10,11
50,2520,50,11,8,8,8,9,10,11
49,2469.6,49,10,9,7,9,9,10,11
48,2419.2,48,10,9,7,8,9,10,11
47,2368.8,47,10,8,7,9,9,12,11
46,2318.4,46,10,8,8,8,9,10,10
45,2268,45,9,9,8,8,8,10,12
44,2217.6,44,11,9,8,8,9,10,10
43,2167.2,43,9,8,15,8,8,9,10
42,2116.8,42,11,8,8,8,9,9,10
41,2066.4,41,10,9,8,8,9,10,11
40,2016,40,10,9,8,8,9,9,10
39,1965.6,39,9,9,8,8,9,10,11
38,1915.2,38,10,8,8,8,8,9,10
37,1864.8,37,10,9,10,8,8,9,10
36,1814.4,36,10,10,8,8,8,9,10
35,1764,35,9,9,8,9,10,11,10
34,1713.6,34,9,9,8,8,9,10,10
33,1663.2,33,10,9,8,8,8,9,10
32,1612.8,32,10,8,8,8,9,9,10
31,1562.4,31,10,8,8,8,8,9,10
30,1512,30,11,9,7,8,8,10,10
29,1461.6,29,9,9,8,8,8,9,10
28,1411.2,28,9,8,9,8,13,9,9
27,1360.8,27,9,8,7,8,8,9,10
26,1310.4,26,9,9,7,8,8,9,10
25,1260,25,10,9,7,8,8,9,10
24,1209.6,24,17,9,7,8,8,9,11
23,1159.2,23,9,9,8,8,8,10,10
22,1108.8,22,9,9,7,8,8,9,10
21,1058.4,21,9,8,8,8,8,9,10
20,1008,20,9,17,7,9,8,9,10
19,957.6,19,12,9,9,8,8,9,10
18,907.2,18,10,9,7,8,8,10,10
17,856.8,17,9,9,8,7,7,9,10
16,806.4,16,9,9,7,7,15,9,10
15,756,15,10,8,8,8,8,9,10
14,705.6,14,9,8,7,7,8,9,10
13,655.2,13,10,9,7,8,8,9,10
12,604.8,12,9,11,7,7,10,9,10
11,554.4,11,18,9,7,8,7,9,10
10,504,10,9,9,7,7,8,9,10
9,453.6,9,10,9,9,9,9,9,10
8,403.2,8,10,9,8,9,9,10,10
7,352.8,7,9,9,10,8,8,9,9
6,302.4,6,9,9,8,8,8,8,9
5,252,5,10,9,8,9,9,10,9
4,201.6,4,10,8,14,8,8,8,9
3,151.2,3,10,8,7,7,8,9,9
2,100.8,2,9,9,8,7,7,8,8
1,50.4,1,9,9,7,7,7,8,8
