Optimas, 1, 719
H-Axis, Max distance, Ratio,Ours-30
100,720,100,0.03821159783106364
99,712.8,99,0.038441164763283284
98,705.6,98,0.0376653241452587
97,698.4,97,0.03706299520516153
96,691.2,96,0.036999822950844294
95,684,95,0.03642172787620937
94,676.8,94,0.03617444434541208
93,669.6,93,0.035999339546865725
92,662.4,92,0.034938659875985004
91,655.2,91,0.03476912116025751
90,648,90,0.03470427720264853
89,640.8,89,0.034281690314000704
88,633.6,88,0.03407575735650187
87,626.4,87,0.034010583551794996
86,619.2,86,0.033374208555752564
85,612,85,0.03260464377619912
84,604.8,84,0.031987057089052286
83,597.6,83,0.03189972193862883
82,590.4,82,0.03140109051535192
81,583.2,81,0.03135439591255509
80,576,80,0.030744709759090733
79,568.8,79,0.030069395995039536
78,561.6,78,0.030020515175139123
77,554.4,77,0.029934323177431495
76,547.2,76,0.029548895716920712
75,540,75,0.02912140658553124
74,532.8,74,0.028912793909700887
73,525.6,73,0.028065600451702814
72,518.4,72,0.027888446759292723
71,511.2,71,0.02798904335941733
70,504,70,0.027848901335754524
69,496.8,69,0.027804239904338973
68,489.6,68,0.026931622521655704
67,482.4,67,0.026653558607052198
66,475.2,66,0.02660997117658912
65,468,65,0.026672747608258645
64,460.8,64,0.02595518167349312
63,453.6,63,0.025865653363765548
62,446.4,62,0.02563903893427384
61,439.2,61,0.025715177731437125
60,432,60,0.025097492732917632
59,424.8,59,0.025599917286414923
58,417.6,58,0.025166200788662066
57,410.4,57,0.024679301139442986
56,403.2,56,0.025050332656729467
55,396,55,0.025477891590445213
54,388.8,54,0.024940200824673568
53,381.6,53,0.025925927595862226
52,374.4,52,0.03128218807404953
51,367.2,51,0.0371138981726669
50,360,50,0.038843434610081336
49,352.8,49,0.037887429578032
48,345.6,48,0.03791845698734648
47,338.4,47,0.03725283586390083
46,331.2,46,0.03569976508819355
45,324,45,0.03530219397213361
44,316.8,44,0.03503653760848492
43,309.6,43,0.03436423481273895
42,302.4,42,0.03367812348184684
41,295.2,41,0.033087004566214696
40,288,40,0.03253384848732447
39,280.8,39,0.03202314666624831
38,273.6,38,0.030878985030365104
37,266.4,37,0.030928620699841366
36,259.2,36,0.02954497243145085
35,252,35,0.02855567305889489
34,244.8,34,0.028573268929511772
33,237.6,33,0.027739214513589062
32,230.4,32,0.026790225690516714
31,223.2,31,0.025812068730479296
30,216,30,0.025549333162138966
29,208.8,29,0.02467960473598242
28,201.6,28,0.02364568121534356
27,194.4,27,0.023073081548669844
26,187.2,26,0.022349382703904647
25,180,25,0.021677234588565346
24,172.8,24,0.020924821134266823
23,165.6,23,0.020036570101696207
22,158.4,22,0.019818255772662136
21,151.2,21,0.018644205315358008
20,144,20,0.017750440882763792
19,136.8,19,0.016802981981473918
18,129.6,18,0.016191741984680996
17,122.4,17,0.015565494837188203
16,115.2,16,0.014498287934022202
15,108,15,0.01378530578632924
14,100.8,14,0.01285256805373623
13,93.6,13,0.012095318382911568
12,86.4,12,0.01123847999401946
11,79.2,11,0.010292437647495047
10,72,10,0.009522808973341483
9,64.8,9,0.00855765936496607
8,57.6,8,0.00767143337463794
7,50.4,7,0.006701566109624072
6,43.2,6,0.006024506296973228
5,36,5,0.004912601179173409
4,28.8,4,0.003928675304810151
3,21.6,3,0.0044444444444444444
2,14.4,2,0.0044444444444444444
1,7.2,1,0.0044444444444444444
